lat,long,hour,crime_score,crowd_density,risk
16.5337,80.6908,12,0.12,0.29,Safe
16.5009,80.6531,10,0.87,0.35,Moderate
16.5103,80.6439,17,0.72,0.0,Moderate
16.5011,80.6489,9,0.61,0.58,Moderate
16.5479,80.6754,13,0.56,0.68,Moderate
16.5224,80.6669,0,0.29,0.62,Safe
16.5422,80.6994,7,0.02,0.28,Safe
16.5355,80.693,6,0.72,0.15,Moderate
16.505,80.6865,11,0.62,0.45,Moderate
16.5211,80.676,10,0.45,0.44,Moderate
16.5229,80.6571,19,0.0,0.11,Safe
16.5237,80.6718,22,0.19,0.63,Safe
16.5438,80.652,15,0.04,0.98,Safe
16.5304,80.6668,4,0.85,0.46,Moderate
16.5251,80.6654,5,0.26,0.31,Safe
16.5425,80.6798,23,0.95,0.89,Moderate
16.5241,80.6786,16,0.83,0.9,Moderate
16.5173,80.6837,9,0.69,0.19,Moderate
16.5316,80.6576,4,0.49,0.78,Moderate
16.5361,80.697,15,0.38,0.05,Safe
16.506,80.6553,17,0.17,0.84,Safe
16.5338,80.6706,12,0.77,0.71,Moderate
16.5033,80.6931,22,0.02,0.72,Safe
16.5093,80.6708,14,0.92,0.57,Moderate
16.542,80.6956,11,0.7,0.32,Moderate
16.5004,80.6536,10,0.64,0.31,Moderate
16.5289,80.6965,12,0.69,0.29,Moderate
16.505,80.6878,20,0.3,0.56,Safe
16.532,80.6728,6,0.77,0.59,Moderate
16.5416,80.6998,6,0.81,0.82,Moderate
16.5144,80.6605,23,0.79,0.1,High
16.5159,80.659,19,0.38,0.65,Safe
16.5299,80.6837,6,0.3,0.85,Safe
16.545,80.6486,3,0.8,0.09,High
16.5075,80.6545,17,0.04,0.9,Safe
16.5403,80.6903,13,0.13,0.48,Safe
16.5263,80.6949,15,0.85,0.8,Moderate
16.549,80.6515,5,0.08,0.74,Safe
16.5359,80.677,14,0.22,0.64,Safe
16.5492,80.6465,13,0.75,0.9,Moderate
16.5307,80.6848,22,1.0,0.44,Moderate
16.5255,80.6875,19,0.45,0.15,Moderate
16.5233,80.6643,2,0.17,0.21,Safe
16.5026,80.6995,5,0.39,0.07,Safe
16.5116,80.6784,3,0.45,0.52,Moderate
16.5011,80.659,11,0.0,0.28,Safe
16.5063,80.681,5,0.36,0.6,Safe
16.5413,80.6663,7,0.48,0.83,Moderate
16.536,80.6718,20,0.61,0.15,High
16.5075,80.6645,11,0.6,0.57,Moderate
16.5182,80.6454,12,0.12,0.58,Safe
16.5001,80.6735,17,0.46,0.35,Moderate
16.5497,80.6647,14,0.02,0.47,Safe
16.5394,80.694,10,0.9,0.31,Moderate
16.5278,80.7,21,0.76,0.93,Moderate
16.5162,80.6921,9,0.78,0.6,Moderate
16.5328,80.6755,19,0.87,0.48,Moderate
16.5241,80.6671,21,0.74,0.4,Moderate
16.5312,80.6473,12,0.71,0.11,Moderate
16.5489,80.6739,13,0.51,0.05,Moderate
16.5361,80.6958,18,0.64,0.86,Moderate
16.5237,80.6769,1,0.01,0.65,Safe
16.5471,80.651,4,0.16,0.01,Safe
16.5198,80.6426,18,0.9,0.64,Moderate
16.5088,80.6938,6,0.7,0.79,Moderate
16.5008,80.6477,0,0.25,0.67,Safe
16.5423,80.6836,10,0.02,0.03,Safe
16.5317,80.684,7,0.33,0.6,Safe
16.5016,80.6583,20,0.54,0.66,Moderate
16.5267,80.6664,8,0.69,0.37,Moderate
16.5458,80.6725,20,0.14,0.42,Safe
16.5228,80.6571,17,0.52,0.62,Moderate
16.5359,80.68,1,0.23,0.11,Safe
16.5146,80.6491,3,0.49,0.48,Moderate
16.5166,80.6887,19,0.16,0.26,Safe
16.5436,80.6795,7,0.13,0.38,Safe
16.5182,80.695,10,0.34,0.8,Safe
16.5403,80.6594,21,0.25,0.85,Safe
16.5446,80.6762,14,0.47,0.16,Moderate
16.5484,80.6682,3,0.21,0.2,Safe
16.5479,80.6456,4,0.67,0.84,Moderate
16.5206,80.6725,3,0.66,0.3,High
16.5448,80.652,14,0.43,0.68,Moderate
16.5209,80.6666,23,0.75,0.96,Moderate
16.5498,80.6638,22,0.38,0.25,Safe
16.5296,80.6933,18,0.57,0.62,Moderate
16.5371,80.6474,19,0.6,0.7,Moderate
16.5187,80.6929,15,0.19,0.49,Safe
16.5105,80.655,13,0.35,0.96,Safe
16.5408,80.6884,6,0.2,0.76,Safe
16.5309,80.6814,5,0.55,0.07,Moderate
16.5431,80.6758,16,0.27,0.19,Safe
16.5335,80.6999,18,0.49,0.45,Moderate
16.5314,80.6538,3,0.35,0.08,Safe
16.5204,80.6507,14,0.08,0.24,Safe
16.5313,80.6461,4,0.34,0.75,Safe
16.5192,80.676,0,0.31,0.21,Safe
16.5411,80.6788,2,0.88,0.14,High
16.512,80.6844,8,0.58,0.2,Moderate
16.5401,80.6696,6,0.13,0.47,Safe
16.5338,80.6527,3,0.55,0.62,Moderate
16.538,80.6701,7,0.54,0.22,Moderate
16.5352,80.677,8,0.15,0.43,Safe
16.5347,80.6965,0,0.41,0.87,Moderate
16.5261,80.6662,18,0.58,0.11,Moderate
16.5083,80.668,7,0.19,0.76,Safe
16.5433,80.6735,9,0.89,0.44,Moderate
16.5248,80.6625,13,0.94,0.08,Moderate
16.5253,80.6856,5,0.59,0.41,Moderate
16.505,80.6919,23,0.47,0.19,Moderate
16.5213,80.6973,10,0.56,0.95,Moderate
16.5204,80.645,15,0.56,0.34,Moderate
16.5445,80.6889,19,0.72,0.65,Moderate
16.511,80.6763,8,0.26,0.51,Safe
16.5261,80.6608,13,0.31,0.17,Safe
16.5239,80.6563,7,0.0,0.43,Safe
16.5339,80.6647,23,0.05,0.08,Safe
16.5156,80.6728,3,0.84,0.63,Moderate
16.5052,80.6698,0,0.28,0.64,Safe
16.5372,80.6844,15,0.89,0.28,Moderate
16.5343,80.6754,8,0.35,0.52,Safe
16.5053,80.6483,9,0.27,0.04,Safe
16.5068,80.648,9,0.17,0.04,Safe
16.5151,80.6837,5,0.36,0.66,Safe
16.5081,80.6634,16,0.91,0.84,Moderate
16.5409,80.6908,20,0.02,0.74,Safe
16.5028,80.663,4,0.91,0.93,Moderate
16.5038,80.6414,9,0.17,0.61,Safe
16.5286,80.6715,13,0.42,0.81,Moderate
16.5492,80.6969,2,0.79,0.73,Moderate
16.5124,80.6686,21,0.84,0.93,Moderate
16.5212,80.6467,6,0.77,0.57,Moderate
16.5485,80.6762,23,0.26,0.03,Safe
16.5439,80.6654,11,0.8,0.26,Moderate
16.5099,80.6412,3,0.13,0.99,Safe
16.5122,80.6829,17,0.69,0.14,Moderate
16.5229,80.6731,19,0.22,0.24,Safe
16.5203,80.6506,23,0.73,0.54,Moderate
16.5044,80.6725,20,0.51,0.8,Moderate
16.5104,80.6418,4,0.69,0.74,Moderate
16.511,80.6896,8,0.93,0.21,Moderate
16.5174,80.6727,11,1.0,0.31,Moderate
16.5408,80.6835,5,0.56,0.06,Moderate
16.5104,80.6707,18,0.62,0.28,Moderate
16.5224,80.6819,10,0.29,0.65,Safe
16.5011,80.6522,13,0.1,0.94,Safe
16.5454,80.6536,14,0.94,0.76,Moderate
16.5156,80.6608,10,0.48,0.77,Moderate
16.5273,80.6644,3,0.2,0.65,Safe
16.5122,80.6403,13,0.91,0.15,Moderate
16.5403,80.6772,6,0.18,0.12,Safe
16.5143,80.6894,2,0.25,0.11,Safe
16.5176,80.6543,11,0.34,0.46,Safe
16.5397,80.6672,9,0.98,0.04,Moderate
16.5245,80.663,4,0.09,0.7,Safe
16.5245,80.6805,9,0.54,0.35,Moderate
16.5285,80.6832,22,0.84,0.95,Moderate
16.5436,80.6445,5,0.74,0.59,Moderate
16.5154,80.6516,15,0.69,0.14,Moderate
16.5141,80.6687,13,0.77,0.69,Moderate
16.5496,80.6768,20,0.42,0.88,Moderate
16.5162,80.6643,23,0.84,0.69,Moderate
16.5362,80.6783,11,0.37,0.18,Safe
16.5294,80.6732,22,0.42,0.88,Moderate
16.5358,80.643,20,0.05,0.51,Safe
16.5102,80.6457,9,0.44,0.59,Moderate
16.5019,80.6895,10,0.81,0.07,Moderate
16.5351,80.6613,14,0.2,0.17,Safe
16.5055,80.673,18,0.59,0.75,Moderate
16.5357,80.6706,23,0.64,0.37,High
16.5035,80.6437,3,0.3,0.25,Safe
16.5377,80.6548,6,0.01,0.31,Safe
16.5115,80.697,11,0.94,0.0,Moderate
16.5218,80.6537,16,0.83,0.25,Moderate
16.5463,80.6471,21,0.02,0.95,Safe
16.5487,80.6406,13,0.29,0.42,Safe
16.5156,80.6973,1,0.41,0.66,Moderate
16.5207,80.6644,6,0.38,0.39,Safe
16.5183,80.6856,8,0.54,0.77,Moderate
16.516,80.657,13,0.89,0.19,Moderate
16.5166,80.6547,5,0.83,0.16,High
16.5115,80.6598,11,0.85,0.4,Moderate
16.522,80.655,5,0.64,0.03,High
16.5068,80.6853,0,0.4,0.44,Safe
16.5267,80.6693,20,0.68,0.97,Moderate
16.5279,80.6824,23,0.93,0.08,High
16.549,80.6642,0,0.49,0.03,Moderate
16.5058,80.6677,23,0.6,0.94,Moderate
16.5004,80.6981,9,0.37,0.27,Safe
16.5313,80.6919,22,0.47,0.77,Moderate
16.5311,80.6754,8,0.35,0.99,Safe
16.549,80.6558,17,0.12,0.85,Safe
16.5486,80.6727,21,0.06,0.91,Safe
16.5035,80.6744,23,0.53,0.41,Moderate
16.5161,80.6858,8,0.15,0.48,Safe
16.512,80.6995,9,0.22,0.09,Safe
16.5288,80.6853,5,0.1,0.76,Safe
16.5059,80.6494,17,0.66,0.34,Moderate
16.5319,80.6981,14,0.25,0.22,Safe
16.5466,80.6658,11,0.34,0.71,Safe
16.5156,80.6857,14,0.43,0.26,Moderate
16.5084,80.6704,12,0.8,0.89,Moderate
16.5165,80.6934,15,0.69,0.18,Moderate
16.539,80.6658,4,0.42,0.05,Moderate
16.5383,80.6745,3,0.1,0.04,Safe
16.5403,80.6649,17,0.52,0.91,Moderate
16.5013,80.6758,20,0.31,0.36,Safe
16.5087,80.6877,12,0.85,0.48,Moderate
16.5499,80.642,21,0.44,0.44,Moderate
16.5075,80.6478,1,0.11,0.01,Safe
16.519,80.6581,9,0.75,0.26,Moderate
16.5237,80.6448,11,0.21,0.3,Safe
16.5314,80.6549,19,0.74,0.48,Moderate
16.503,80.6888,0,0.76,0.59,Moderate
16.5361,80.6736,5,0.83,0.35,High
16.5448,80.688,18,0.89,0.47,Moderate
16.5138,80.6754,11,0.27,0.27,Safe
16.5046,80.6708,12,0.49,0.04,Moderate
16.5358,80.699,3,0.65,0.68,Moderate
16.5059,80.697,21,0.14,0.18,Safe
16.544,80.6978,13,0.26,0.35,Safe
16.5467,80.6901,9,0.97,0.12,Moderate
16.5496,80.6446,2,0.86,0.51,Moderate
16.5187,80.6784,16,0.78,0.39,Moderate
16.5361,80.6488,0,0.79,0.19,High
16.5433,80.6773,23,0.9,0.77,Moderate
16.5257,80.6862,23,0.91,0.29,High
16.5081,80.6546,11,0.99,0.94,Moderate
16.5357,80.6549,1,0.34,0.1,Safe
16.5105,80.6993,4,0.48,0.05,Moderate
16.5075,80.6974,15,0.37,0.39,Safe
16.5437,80.6436,8,0.61,0.84,Moderate
16.5228,80.651,4,0.03,0.64,Safe
16.5278,80.6601,2,0.62,0.75,Moderate
16.5117,80.6911,8,0.09,0.6,Safe
16.54,80.6551,11,0.64,0.48,Moderate
16.5069,80.6752,7,0.18,0.53,Safe
16.5128,80.6867,10,0.85,0.88,Moderate
16.5126,80.676,9,0.48,0.85,Moderate
16.5044,80.6777,5,0.12,0.51,Safe
16.5062,80.651,3,0.28,0.63,Safe
16.5265,80.6767,14,0.94,0.81,Moderate
16.5281,80.6557,9,0.05,0.28,Safe
16.5451,80.6723,3,0.81,0.54,Moderate
16.5359,80.6677,17,0.01,0.9,Safe
16.5026,80.6913,19,0.63,0.45,Moderate
16.5205,80.6604,15,0.01,0.47,Safe
16.5191,80.6502,5,0.13,0.01,Safe
16.5409,80.6918,21,0.01,0.3,Safe
16.53,80.6459,22,0.04,0.85,Safe
16.5436,80.676,14,0.28,0.23,Safe
16.5148,80.6659,22,0.52,0.6,Moderate
16.5246,80.6726,10,0.89,0.11,Moderate
16.5278,80.6961,6,0.78,0.74,Moderate
16.5273,80.6601,10,0.85,0.46,Moderate
16.5148,80.6817,13,0.45,0.7,Moderate
16.5098,80.6578,18,0.04,0.91,Safe
16.5491,80.6936,20,0.37,0.39,Safe
16.5023,80.6537,7,0.18,0.61,Safe
16.5319,80.6786,11,0.13,0.46,Safe
16.5319,80.6866,18,0.96,0.43,Moderate
16.5285,80.6973,6,0.88,0.01,Moderate
16.5082,80.6614,21,0.9,0.13,High
16.5273,80.6674,7,0.69,0.03,Moderate
16.5056,80.686,4,0.73,0.51,Moderate
16.5236,80.6953,9,0.78,0.58,Moderate
16.548,80.6621,4,0.26,0.46,Safe
16.5116,80.69,0,0.1,0.9,Safe
16.5124,80.6712,0,0.78,0.56,Moderate
16.5063,80.646,20,0.55,0.84,Moderate
16.5348,80.6628,17,0.35,0.94,Safe
16.514,80.6878,20,0.45,0.92,Moderate
16.522,80.6844,14,0.05,0.05,Safe
16.5097,80.6553,12,0.25,0.13,Safe
16.5441,80.6646,14,0.14,0.29,Safe
16.5121,80.6767,4,0.82,0.47,Moderate
16.5453,80.6414,10,0.41,0.25,Moderate
16.5272,80.6983,1,0.27,0.17,Safe
16.5034,80.6763,8,0.2,0.51,Safe
16.5068,80.6432,9,0.17,0.91,Safe
16.5002,80.6979,13,0.65,0.57,Moderate
16.5207,80.6867,12,0.82,0.15,Moderate
16.5226,80.6791,19,0.58,0.87,Moderate
16.5175,80.6826,1,0.35,0.22,Safe
16.5336,80.6906,4,0.4,0.11,Safe
16.5021,80.6583,19,0.23,0.53,Safe
16.5393,80.6889,11,0.46,0.21,Moderate
16.5364,80.6772,7,0.75,0.28,Moderate
16.5129,80.6978,5,0.63,0.78,Moderate
16.5206,80.6428,6,0.1,0.21,Safe
16.5473,80.6508,23,0.26,0.12,Safe
16.5074,80.6619,1,0.86,0.68,Moderate
16.5169,80.6761,19,0.5,0.17,Moderate
16.5185,80.6981,19,0.6,0.35,Moderate
16.5112,80.6662,7,0.71,0.62,Moderate
16.5445,80.6756,22,0.5,0.3,Moderate
16.5469,80.659,0,0.72,0.45,Moderate
16.5169,80.6961,13,0.38,0.8,Safe
16.5168,80.6993,13,0.27,0.09,Safe
16.5055,80.6954,1,0.08,0.46,Safe
16.5347,80.6643,2,0.78,0.84,Moderate
16.5142,80.6992,18,0.84,0.34,Moderate
16.525,80.6584,5,0.66,0.72,Moderate
16.5169,80.6797,9,0.63,0.34,Moderate
16.5267,80.6765,21,0.29,0.05,Safe
16.5032,80.6667,0,0.49,0.78,Moderate
16.5158,80.6439,6,0.26,0.39,Safe
16.5309,80.6691,23,0.54,0.74,Moderate
16.5202,80.6822,9,0.83,0.51,Moderate
16.5042,80.6815,1,0.29,0.62,Safe
16.533,80.6746,18,0.93,0.44,Moderate
16.5413,80.6616,22,0.26,0.77,Safe
16.5408,80.6938,15,0.61,0.23,Moderate
16.5176,80.6859,21,0.02,0.6,Safe
16.527,80.6502,0,0.72,0.61,Moderate
16.5309,80.6562,21,0.07,0.93,Safe
16.536,80.6656,9,0.21,0.07,Safe
16.5049,80.6543,12,0.77,0.73,Moderate
16.5179,80.6923,14,0.43,0.58,Moderate
16.5017,80.6425,19,0.69,0.59,Moderate
16.5392,80.6654,16,0.55,0.6,Moderate
16.5071,80.6888,2,0.54,0.44,Moderate
16.5023,80.6765,1,0.47,0.82,Moderate
16.5135,80.6691,0,0.9,0.04,High
16.513,80.6462,8,0.63,0.1,Moderate
16.5467,80.6511,12,0.07,0.99,Safe
16.5264,80.6947,17,0.73,0.75,Moderate
16.5313,80.6596,6,0.8,0.44,Moderate
16.532,80.6769,4,0.96,0.1,High
16.542,80.6751,22,0.53,0.74,Moderate
16.5098,80.6436,23,0.67,0.84,Moderate
16.5196,80.6812,19,0.07,0.82,Safe
16.5049,80.6571,14,0.36,0.22,Safe
16.5012,80.6983,0,0.37,0.67,Safe
16.5059,80.6886,13,0.81,0.74,Moderate
16.519,80.6629,8,0.81,0.65,Moderate
16.5111,80.6794,8,0.97,0.85,Moderate
16.5188,80.6693,15,0.05,0.24,Safe
16.5393,80.6998,2,0.11,0.24,Safe
16.5431,80.6945,12,0.67,0.49,Moderate
16.5311,80.668,21,0.23,0.45,Safe
16.5026,80.6859,22,0.81,0.77,Moderate
16.5318,80.6516,20,0.55,0.27,Moderate
16.5479,80.6847,13,0.06,0.8,Safe
16.533,80.6938,1,0.12,0.21,Safe
16.5454,80.6974,20,0.22,0.79,Safe
16.5358,80.6939,6,0.41,0.97,Moderate
16.5455,80.6604,22,0.94,0.58,Moderate
16.5322,80.6755,16,0.14,0.17,Safe
16.5458,80.6813,12,0.62,0.07,Moderate
16.5461,80.6684,22,0.76,0.56,Moderate
16.5066,80.6535,14,0.18,0.45,Safe
16.5066,80.6522,8,0.77,0.45,Moderate
16.5486,80.6423,23,0.4,0.05,Safe
16.5163,80.6721,17,0.01,0.6,Safe
16.5385,80.6839,0,0.79,0.87,Moderate
16.5287,80.7,17,0.85,0.74,Moderate
16.5336,80.6439,5,0.85,0.24,High
16.5368,80.6536,17,0.29,0.48,Safe
16.5066,80.6619,10,0.98,0.09,Moderate
16.517,80.6833,10,0.79,0.41,Moderate
16.5188,80.6447,1,0.31,0.83,Safe
16.5412,80.6517,14,0.36,0.43,Safe
16.502,80.6519,4,0.87,0.55,Moderate
16.5491,80.6781,15,0.45,0.85,Moderate
16.5315,80.6563,16,0.88,0.71,Moderate
16.5369,80.6685,12,0.2,0.89,Safe
16.5238,80.6564,17,0.01,0.73,Safe
16.5196,80.6722,15,0.71,0.39,Moderate
16.5073,80.6884,20,0.27,0.61,Safe
16.5418,80.6665,7,0.73,0.25,Moderate
16.5283,80.6608,6,0.97,0.54,Moderate
16.5193,80.679,2,0.18,0.71,Safe
16.5061,80.6731,1,0.44,0.14,Moderate
16.5398,80.6817,17,0.92,0.29,Moderate
16.5277,80.6928,18,0.39,0.69,Safe
16.5131,80.6621,4,0.22,0.39,Safe
16.5249,80.6755,2,0.12,0.63,Safe
16.5291,80.6473,16,0.02,0.13,Safe
16.5136,80.6595,16,0.87,0.27,Moderate
16.5414,80.6436,1,0.55,0.67,Moderate
16.5432,80.6824,0,0.35,0.71,Safe
16.5426,80.6524,17,0.57,0.05,Moderate
16.5124,80.6977,8,0.63,0.16,Moderate
16.5128,80.6707,18,0.51,0.41,Moderate
16.5263,80.6418,13,0.38,0.81,Safe
16.5211,80.6816,18,0.23,0.19,Safe
16.5274,80.6833,1,0.8,0.11,High
16.5388,80.6774,9,0.23,0.26,Safe
16.5102,80.6785,5,0.89,0.53,Moderate
16.5149,80.6478,6,0.27,0.67,Safe
16.5441,80.6504,2,0.28,0.59,Safe
16.5239,80.6444,8,0.26,0.45,Safe
16.5312,80.6895,16,0.82,0.94,Moderate
16.5033,80.6801,6,0.7,0.27,Moderate
16.5135,80.6456,10,0.47,0.98,Moderate
16.5327,80.6458,17,0.16,0.07,Safe
16.5145,80.6438,16,0.54,0.43,Moderate
16.5126,80.6762,4,0.41,0.08,Moderate
16.5429,80.6658,5,0.14,0.57,Safe
16.5355,80.6949,13,0.78,0.37,Moderate
16.5143,80.6681,3,0.47,0.5,Moderate
16.5368,80.6667,5,0.18,0.62,Safe
16.5261,80.6695,7,0.35,0.63,Safe
16.5479,80.6721,9,0.64,0.25,Moderate
16.5052,80.6542,12,0.32,0.02,Safe
16.5408,80.6528,17,0.98,0.32,Moderate
16.538,80.6854,22,0.43,0.32,Moderate
16.5185,80.6886,7,0.4,0.58,Safe
16.5309,80.6555,3,0.99,0.96,Moderate
16.5258,80.6714,14,0.05,0.13,Safe
16.5231,80.6766,6,0.88,0.67,Moderate
16.5291,80.6856,1,0.66,0.98,Moderate
16.5421,80.6948,0,0.78,0.44,Moderate
16.5091,80.6478,22,0.14,0.17,Safe
16.5333,80.6597,2,0.07,0.7,Safe
16.5086,80.688,18,0.02,0.16,Safe
16.502,80.6636,8,0.97,0.98,Moderate
16.5231,80.6804,0,0.22,0.93,Safe
16.5182,80.6504,16,0.35,0.04,Safe
16.5294,80.6535,0,0.93,0.12,High
16.5275,80.6481,2,0.3,0.75,Safe
16.5089,80.6411,22,0.78,0.37,High
16.5183,80.6886,14,0.29,0.73,Safe
16.5318,80.6516,17,0.87,0.74,Moderate
16.5178,80.6456,21,0.13,0.08,Safe
16.5293,80.6963,0,0.39,0.21,Safe
16.5318,80.6668,5,0.09,0.46,Safe
16.5149,80.6475,8,0.75,0.34,Moderate
16.5218,80.6821,15,0.31,0.32,Safe
16.5018,80.6815,9,0.43,0.65,Moderate
16.5279,80.6489,6,0.71,0.34,Moderate
16.5487,80.6505,4,0.84,0.13,High
16.5151,80.6995,11,0.39,0.98,Safe
16.5167,80.6477,15,0.03,0.71,Safe
16.503,80.6849,16,0.67,0.95,Moderate
16.5006,80.6786,13,0.24,0.71,Safe
16.5282,80.674,6,0.77,0.39,Moderate
16.5335,80.642,19,0.2,0.84,Safe
16.5163,80.6472,11,0.25,0.07,Safe
16.5072,80.6563,16,0.6,0.72,Moderate
16.5459,80.6767,15,0.15,0.23,Safe
16.5139,80.6876,7,0.49,0.33,Moderate
16.5289,80.6476,6,0.13,0.24,Safe
16.5299,80.6887,6,0.36,0.03,Safe
16.5265,80.666,14,0.55,0.47,Moderate
16.5087,80.6841,13,0.76,0.2,Moderate
16.5499,80.6718,10,0.88,0.31,Moderate
16.5147,80.6916,14,0.05,0.59,Safe
16.5412,80.657,11,0.21,0.73,Safe
16.5229,80.6493,9,0.67,0.4,Moderate
16.5396,80.6565,5,0.66,0.24,High
16.5177,80.6982,18,0.93,0.2,Moderate
16.5165,80.6837,22,0.5,0.79,Moderate
16.5088,80.6974,23,0.45,0.49,Moderate
16.501,80.66,8,0.75,0.21,Moderate
16.52,80.6896,14,0.83,0.55,Moderate
16.5487,80.6925,9,0.63,0.15,Moderate
16.5166,80.6553,9,0.87,0.74,Moderate
16.5247,80.6753,13,0.09,0.72,Safe
16.532,80.6796,20,0.75,0.46,Moderate
16.5454,80.644,17,0.47,0.49,Moderate
16.5159,80.6448,11,0.9,0.79,Moderate
16.5265,80.673,8,0.47,0.82,Moderate
16.5465,80.6861,16,0.91,0.38,Moderate
16.5061,80.6822,21,0.24,0.82,Safe
16.5061,80.6619,17,0.89,0.43,Moderate
16.5216,80.6568,18,0.75,0.24,Moderate
16.5113,80.6715,14,0.06,0.06,Safe
16.5381,80.6632,15,0.62,0.43,Moderate
16.5135,80.679,23,0.97,0.0,High
16.5422,80.6702,10,0.78,0.24,Moderate
16.5046,80.6561,16,0.64,0.99,Moderate
16.5403,80.6644,14,0.14,0.22,Safe
16.5119,80.6772,4,0.94,0.84,Moderate
16.5271,80.646,16,0.16,0.92,Safe
16.5454,80.6949,5,0.59,0.3,Moderate
16.5227,80.6988,6,0.96,0.92,Moderate
16.5054,80.6985,20,0.19,0.71,Safe
16.5048,80.6778,6,0.16,0.07,Safe
16.5219,80.6645,4,0.76,0.41,Moderate
16.5241,80.6855,4,0.31,0.47,Safe
16.5078,80.6758,23,0.66,0.68,Moderate
16.5123,80.6905,22,0.6,0.09,Moderate
16.5462,80.6727,11,0.77,0.07,Moderate
16.5465,80.6966,2,0.61,0.64,Moderate
16.5475,80.6456,0,0.79,0.99,Moderate
16.5197,80.6774,23,0.87,0.52,Moderate
16.5403,80.6812,6,0.52,0.35,Moderate
16.523,80.6945,4,0.74,0.91,Moderate
16.5385,80.6622,20,0.61,0.61,Moderate
16.5062,80.658,3,0.11,0.2,Safe
16.5113,80.6595,9,0.78,0.78,Moderate
16.5143,80.6414,9,0.4,0.66,Safe
16.507,80.6731,17,0.03,0.22,Safe
16.5417,80.6621,5,0.67,0.67,Moderate
16.5356,80.6995,19,0.08,0.24,Safe
16.54,80.6863,9,0.8,0.95,Moderate
16.5282,80.6942,13,0.76,0.8,Moderate
16.5131,80.6636,9,0.79,0.49,Moderate
16.5078,80.6427,22,0.0,0.87,Safe
16.5485,80.6527,10,0.07,0.31,Safe
16.5003,80.6671,10,0.32,0.74,Safe
16.5293,80.6661,0,0.38,0.05,Safe
16.5116,80.6905,0,0.5,0.64,Moderate
16.5367,80.6632,8,0.1,0.57,Safe
16.52,80.6495,22,0.85,0.19,High
16.5311,80.6448,8,0.04,0.48,Safe
16.535,80.6898,12,0.53,0.02,Moderate
16.5086,80.6798,9,0.65,0.09,Moderate
16.5337,80.6827,15,0.44,0.89,Moderate
16.5184,80.6539,10,0.21,0.21,Safe
16.5164,80.6801,7,0.63,0.74,Moderate
16.5478,80.6698,16,0.46,0.07,Moderate
16.5066,80.6713,15,0.36,0.18,Safe
16.5371,80.6686,10,0.89,0.11,Moderate
16.5154,80.6401,16,0.95,0.71,Moderate
16.5189,80.6509,20,0.57,0.57,Moderate
16.5447,80.6515,12,0.56,0.89,Moderate
16.5361,80.6432,2,0.83,0.17,High
16.5348,80.6723,23,0.5,0.75,Moderate
16.506,80.6767,15,0.27,0.92,Safe
16.5031,80.6715,13,0.19,0.56,Safe
16.5084,80.686,4,0.63,0.67,Moderate
16.5135,80.6704,5,0.31,0.43,Safe
16.5294,80.6885,15,0.52,0.07,Moderate
16.5366,80.6707,22,0.56,0.76,Moderate
16.5005,80.6833,0,0.27,0.82,Safe
16.5423,80.6435,3,0.93,0.29,High
16.5001,80.6966,4,0.3,0.24,Safe
